Quarter Back_1,Quarter Back_2,Quarter Back_3,Running Back_1,Running Back_2,Running Back_3,Running Back_4,Offensive Lineman_1,Offensive Lineman_2,Offensive Lineman_3,Offensive Lineman_4,Offensive Lineman_5,Offensive Lineman_6,Offensive Lineman_7,Offensive Lineman_8,Offensive Lineman_9,Tight End_1,Tight End_2,Tight End_3,Wide Receiver_1,Wide Receiver_2,Wide Receiver_3,Wide Receiver_4,Wide Receiver_5,Wide Receiver_6,Defensive Lineman_1,Defensive Lineman_2,Defensive Lineman_3,Defensive Lineman_4,Defensive Lineman_5,Defensive Lineman_6,Defensive Lineman_7,Defensive Lineman_8,Defensive Lineman_9,Line Backer_1,Line Backer_2,Line Backer_3,Line Backer_4,Line Backer_5,Line Backer_6,Line Backer_7,Defensive Back_1,Defensive Back_2,Defensive Back_3,Defensive Back_4,Defensive Back_5,Defensive Back_6,Defensive Back_7,Defensive Back_8,Defensive Back_9,Defensive Back_10,Kicker_1,Punter_1,Team Rating
86,80,64,86,83,77,75,93,92,91,91,79,71,70,67,65,91,77,76,90,84,83,73,71,70,93,93,88,83,81,80,80,70,70,85,81,72,70,70,70,67,94,86,81,81,77,75,69,68,65,64,81,0,91
77,69,68,84,81,72,68,79,77,75,70,70,68,66,66,64,89,79,74,93,79,76,74,70,69,91,84,82,79,78,76,72,71,71,87,75,71,71,70,67,65,84,81,80,79,79,74,71,69,68,67,76,73,75
79,70,65,87,86,68,60,85,81,80,80,75,69,66,66,66,93,74,73,82,80,76,75,67,64,89,81,79,74,70,66,62,0,0,86,80,76,76,75,73,72,89,87,83,83,82,74,74,70,69,69,77,79,81
79,78,72,93,72,71,64,80,76,76,74,73,71,67,67,65,82,75,64,89,77,76,73,69,65,89,81,76,75,74,73,70,69,68,76,75,73,68,65,65,63,92,82,80,79,70,70,69,67,64,64,78,79,76
74,71,68,90,80,74,74,77,74,73,73,72,69,69,68,66,84,73,71,84,77,75,75,70,68,83,82,81,77,76,72,72,71,70,78,76,75,70,69,68,66,92,88,88,78,72,72,70,68,68,67,79,74,76
79,79,71,81,78,74,74,92,79,76,73,73,70,65,65,64,78,75,75,84,79,76,74,71,69,89,87,79,75,72,70,70,67,0,86,84,80,74,74,73,73,89,86,84,80,80,79,78,73,70,68,86,84,82
87,68,66,89,81,71,66,80,78,75,74,72,66,65,63,63,88,76,68,92,83,82,79,69,66,90,90,83,77,72,71,69,69,64,78,77,73,72,69,68,67,91,86,83,82,81,80,76,74,73,68,78,75,81
78,72,68,82,76,71,64,88,84,77,73,67,67,66,65,64,77,77,75,85,84,81,77,73,70,89,87,81,78,75,74,74,74,70,73,73,72,70,70,69,66,91,79,79,77,76,75,74,69,68,68,73,80,75
85,65,60,87,84,82,73,86,85,77,76,71,68,67,67,67,77,73,73,89,87,78,76,64,64,83,81,78,77,76,75,71,69,67,77,77,74,74,71,69,68,91,87,81,77,74,74,74,73,69,69,82,80,78
74,67,60,85,83,70,69,81,79,79,74,71,70,70,67,67,84,81,77,87,81,74,73,73,72,86,78,74,72,71,69,68,66,61,84,81,79,78,76,73,70,90,80,80,80,79,75,73,69,68,67,76,76,78
83,70,0,85,84,76,71,90,81,78,72,72,70,69,67,65,77,75,68,86,83,76,76,74,70,86,79,78,74,73,72,72,70,69,87,76,76,73,71,71,69,90,83,77,77,75,74,71,69,69,68,85,80,79
81,81,70,83,82,76,66,89,89,77,74,71,68,67,67,67,81,77,77,87,82,79,71,70,70,88,78,77,74,73,73,72,71,70,82,77,76,76,69,67,66,81,80,80,80,80,79,78,75,69,67,75,74,76
87,76,62,77,74,71,71,84,83,78,76,75,74,74,69,69,85,84,69,89,78,74,68,68,66,89,83,77,77,75,75,72,72,71,78,72,72,71,70,70,69,80,78,78,78,73,72,72,69,69,66,84,77,74
78,78,75,79,79,73,72,79,74,71,70,69,69,68,68,68,73,71,71,84,83,79,75,74,71,84,83,80,73,72,71,71,70,68,83,79,75,74,73,73,73,86,82,80,78,78,76,76,71,71,71,78,77,74
75,72,72,91,83,80,72,82,81,75,71,71,71,70,70,69,77,72,70,85,77,73,72,71,70,83,79,79,77,76,76,75,72,67,88,76,75,75,73,69,68,80,77,76,74,72,71,71,70,69,69,76,73,76
77,74,67,85,74,74,73,89,86,80,73,73,72,69,69,68,86,78,75,83,77,77,75,72,71,83,81,76,71,71,69,65,61,0,88,84,84,80,79,77,75,81,80,80,80,76,73,72,71,71,71,75,79,77
84,73,65,86,82,79,78,78,77,74,72,72,70,67,66,66,91,69,69,94,82,77,74,68,68,91,86,76,76,72,70,70,68,68,87,80,78,71,67,66,63,81,80,78,75,73,73,72,69,69,65,75,72,78
82,72,67,92,84,77,69,88,84,76,76,73,72,72,72,71,86,76,68,86,77,76,74,71,69,87,85,81,76,71,71,70,65,63,84,79,74,73,72,69,65,79,78,76,75,71,70,70,69,66,62,76,73,83
76,72,68,85,84,82,73,88,83,77,74,73,72,70,68,67,81,74,74,89,87,76,71,71,68,81,74,71,71,70,68,66,66,64,99,86,81,79,76,66,63,94,94,83,81,77,72,70,69,68,68,80,74,82
75,75,75,82,80,70,64,92,88,84,84,82,72,71,71,70,78,68,65,82,78,78,66,65,64,83,82,79,74,72,71,71,70,70,85,82,69,65,61,60,0,81,81,81,76,72,71,70,69,69,68,74,76,76
81,69,61,83,82,78,71,85,80,77,74,73,72,71,70,66,83,82,68,90,87,76,75,71,64,90,84,80,76,75,75,72,71,70,84,80,69,65,62,62,61,88,81,76,75,73,72,72,71,71,69,78,85,81
83,72,66,94,73,69,0,84,80,77,71,71,69,68,68,68,77,74,66,90,84,74,73,72,72,76,74,72,66,65,62,60,59,0,88,82,80,76,76,73,69,91,87,77,75,74,72,69,68,67,66,80,70,82
84,67,61,87,79,69,69,80,79,76,73,72,71,67,66,66,87,82,72,89,80,80,79,76,64,89,88,82,80,69,68,68,68,68,80,80,76,75,74,68,68,86,86,83,81,79,72,71,70,67,67,76,72,80
81,76,62,82,76,76,75,81,80,78,76,75,74,73,69,69,94,74,70,83,76,74,69,68,65,84,78,77,73,69,68,65,65,64,93,83,82,79,78,73,72,94,88,85,79,75,74,71,70,70,67,79,81,87
90,66,61,83,76,75,72,83,82,79,74,72,71,69,66,64,79,71,67,88,80,78,73,67,65,76,76,74,74,73,71,70,70,70,79,79,78,76,73,68,68,86,82,81,76,74,72,72,68,65,64,84,75,82
86,67,60,90,77,77,75,95,94,93,79,77,71,70,66,65,90,74,73,91,81,80,74,74,70,79,79,79,77,75,74,74,74,72,91,75,74,73,73,65,64,84,83,79,76,76,75,75,72,70,69,84,83,89
83,71,62,87,76,69,67,78,78,77,72,70,69,69,68,67,83,81,69,88,81,80,69,67,67,93,89,83,78,76,73,68,67,65,82,80,76,72,70,67,64,91,85,76,76,74,74,72,72,69,68,75,78,83
79,71,67,85,83,82,73,90,89,87,81,76,76,73,73,70,85,82,79,87,81,78,71,69,67,95,91,81,80,79,75,72,70,69,85,84,77,66,63,61,60,85,80,77,74,72,71,70,70,70,70,80,76,78
96,69,58,89,85,75,72,91,87,84,77,70,66,64,64,64,77,70,70,98,82,79,73,72,70,82,79,77,76,75,75,75,73,69,83,81,73,71,67,62,0,89,83,81,80,79,76,75,71,68,68,85,82,91
80,73,72,82,79,77,74,86,86,77,75,71,70,67,67,65,75,75,66,93,85,80,71,68,67,89,88,88,71,71,71,70,67,67,80,74,73,72,68,65,62,92,89,89,78,77,75,72,69,67,65,71,77,84
77,67,63,81,80,79,69,85,77,76,76,73,72,70,70,70,77,73,66,87,81,80,75,71,70,91,83,80,77,76,71,71,69,68,87,82,75,72,69,68,68,88,86,83,78,75,69,67,67,66,66,78,77,77
73,69,66,84,81,70,68,82,78,75,72,71,70,69,69,69,74,72,65,79,74,74,70,70,69,85,79,75,67,65,62,62,0,0,81,74,73,72,72,72,69,81,79,76,74,74,72,71,69,69,68,76,72,75
87,64,63,82,78,75,74,87,83,82,81,72,71,71,70,69,81,74,72,87,84,74,69,69,66,84,78,78,73,72,72,71,69,68,75,74,74,69,67,65,62,89,82,82,80,74,73,71,70,69,67,83,81,81
98,69,62,83,83,72,70,91,86,82,76,75,69,67,67,66,89,78,74,91,87,84,68,67,66,87,75,74,73,72,67,66,61,61,84,82,76,74,71,71,69,86,82,77,74,74,73,72,71,68,68,77,75,88
88,69,64,84,81,74,72,84,81,78,77,74,73,72,71,70,92,70,62,85,76,73,73,71,69,88,83,83,83,75,75,72,72,69,98,87,83,66,64,63,61,81,81,80,78,74,69,67,65,65,65,76,79,79
99,77,72,84,82,81,77,88,87,85,78,76,71,71,68,67,98,80,69,89,86,83,78,76,74,83,82,78,77,75,70,69,65,63,89,81,78,75,74,73,72,92,92,83,77,77,76,73,69,67,65,76,75,93
73,61,0,85,78,77,68,89,79,77,76,69,69,66,65,62,75,70,62,81,78,74,72,64,64,99,81,78,72,69,66,64,63,63,81,78,77,77,67,66,63,84,82,82,79,74,74,73,66,66,65,79,86,75
81,66,60,82,81,76,72,96,80,72,71,71,70,69,68,67,80,77,76,83,82,74,71,68,66,82,79,72,69,69,66,66,0,0,89,86,71,71,71,71,70,93,88,86,82,80,79,75,71,70,65,87,84,80
92,70,62,84,84,80,76,85,85,84,81,78,74,69,69,61,80,74,74,84,81,79,72,70,63,92,79,78,73,72,72,72,72,69,77,75,75,73,72,72,72,82,79,76,76,75,75,74,74,71,68,79,84,84
90,68,64,83,82,74,73,80,75,75,74,73,71,70,69,66,93,76,70,89,80,80,75,74,67,90,86,82,74,74,73,71,68,65,93,87,70,70,69,68,66,95,94,90,79,78,76,72,70,70,68,72,77,86
91,72,66,97,80,71,71,88,88,88,85,81,73,71,66,66,78,69,65,97,80,76,75,73,72,83,81,73,73,69,61,61,61,60,86,81,75,74,74,74,69,84,81,80,78,73,72,71,70,70,70,82,78,88
76,72,68,85,81,75,71,86,78,78,74,72,72,71,70,69,81,72,65,91,76,73,73,64,64,98,70,68,68,67,65,61,0,0,87,86,82,78,75,71,66,83,80,78,74,74,70,69,68,68,67,79,80,79
80,69,61,91,79,78,67,88,86,83,81,80,70,68,67,65,93,75,74,86,82,79,77,76,73,86,80,78,72,70,66,63,60,58,85,82,79,79,73,66,64,86,84,78,76,76,74,68,68,67,66,82,78,85
83,79,73,84,80,80,72,83,79,73,73,71,69,68,68,68,85,71,67,86,81,75,73,73,68,86,86,86,83,80,76,71,70,69,80,79,72,66,65,65,61,93,88,85,78,75,73,71,70,67,65,77,76,78
